Gemeindename;Fläche km2 1);insgesamt;männlich;weiblich;je km2;Post-leit-zahl3);Längengrad;Breitengrad;Column1;Reisegebiete;Grad der Verstädterung;
Wandlitz;162,84; 22 937; 11 498; 11 439;  141;16348;13,449752;52,752045;A04;Barnimer Land;gering besiedelt;
Dahme/Mark, Stadt;162,59; 4 897; 2 417; 2 480;  30;15936;13,428214;51,869415;A11;Fläming;gering besiedelt;
Cuxhaven, Stadt;161,92; 48 371; 22 956; 25 415;  299;27472;8,69747;53,864463;G02;Nordseeküste;mittlere Besiedlungsdichte;
Milower Land;161,33; 4 317; 2 185; 2 132;  27;14715;12,311809;52,522804;A12;Havelland;gering besiedelt;
Bad Wünnenberg, Stadt;161,30; 12 177; 6 115; 6 062;  75;33181;8,697601;51,517257;H04;Teutoburger Wald;gering besiedelt;
Aachen, Stadt;160,85; 247 380; 128 754; 118 626; 1 538;52062;6,0848;50,773516;H01;Eifel und Region Aachen;dicht besiedelt;
Steinhöfel;160,47; 4 448; 2 212; 2 236;  28;15518;14,165947;52,400101;A06;Seenland Oder-Spree;gering besiedelt;
Hagen, Stadt der FernUniversität;160,45; 188 814; 92 168; 96 646; 1 177;58095;7,467406;51,360171;H11;Ruhrgebiet;dicht besiedelt;
Springe, Stadt;160,12; 28 951; 14 088; 14 863;  181;31832;9,554961;52,208899;G11;Hannover-Hildesheim;gering besiedelt;
Bad Schmiedeberg, Stadt;160,02; 8 222; 4 071; 4 151;  51;06905;12,732596;51,683995;D03;Anhalt-Wittenberg;gering besiedelt;
Gommern, Stadt;159,99; 10 543; 5 164; 5 379;  66;39245;11,825518;52,073221;D04;Magdeburg, Elbe-Börde-Heide;gering besiedelt;
Sundhagen;159,77; 5 119; 2 600; 2 519;  32;18519;13,251468;54,213985;B02;Vorpommern;gering besiedelt;
Waren (Müritz), Stadt;159,46; 21 061; 9 887; 11 174;  132;17192;12,686242;53,513209;B05;Mecklenburgische Schweiz und Seenplatte;mittlere Besiedlungsdichte;
Haselünne, Stadt;159,43; 12 914; 6 390; 6 524;  81;49740;7,486718;52,67361;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;mittlere Besiedlungsdichte;
Krummhörn;159,21; 11 997; 5 929; 6 068;  75;26736;7,097865;53,434097;G02;Nordseeküste;gering besiedelt;
Visselhövede, Stadt;159,20; 9 629; 4 714; 4 915;  60;27374;9,580361;52,985561;G09;Lüneburger Heide;mittlere Besiedlungsdichte;
Haltern am See, Stadt;159,03; 38 013; 18 524; 19 489;  239;45721;7,187214;51,743737;H11;Ruhrgebiet;mittlere Besiedlungsdichte;
Belgern-Schildau, Stadt;158,98; 7 701; 3 842; 3 859;  48;04874;12,927299;51,456594;C07;Sächsisches Burgen- und Heideland;gering besiedelt;
Gräfenhainichen, Stadt;158,94; 11 654; 5 690; 5 964;  73;06773;12,455564;51,72918;D03;Anhalt-Wittenberg;gering besiedelt;
Mirow, Stadt;158,28; 3 933; 1 907; 2 026;  25;17252;12,815475;53,274554;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Höxter, Stadt;158,16; 28 824; 14 273; 14 551;  182;37671;9,381623;51,775666;H04;Teutoburger Wald;mittlere Besiedlungsdichte;
Rüthen, Stadt;158,15; 10 957; 5 690; 5 267;  69;59602;8,431127;51,491486;H05;Sauerland;gering besiedelt;
Warstein, Stadt;158,03; 24 842; 12 403; 12 439;  157;59581;8,353834;51,442787;H05;Sauerland;mittlere Besiedlungsdichte;
Kyritz, Stadt;157,38; 9 303; 4 540; 4 763;  59;16866;12,396931;52,940717;A01;Prignitz;mittlere Besiedlungsdichte;
Delbrück, Stadt;157,28; 31 949; 16 227; 15 722;  203;33129;8,562506;51,76505;H04;Teutoburger Wald;gering besiedelt;
Aschersleben, Stadt;156,23; 27 220; 13 024; 14 196;  174;06449;11,455041;51,756034;D04;Magdeburg, Elbe-Börde-Heide;mittlere Besiedlungsdichte;
Haldensleben, Stadt;156,21; 19 247; 9 539; 9 708;  123;39340;11,410945;52,291258;D04;Magdeburg, Elbe-Börde-Heide;mittlere Besiedlungsdichte;
Schönewalde, Stadt;156,18; 3 040; 1 560; 1 480;  19;04916;13,228504;51,814067;A10;Elbe Elster Land;gering besiedelt;
Winsen (Aller);155,85; 13 220; 6 508; 6 712;  85;29308;9,90864;52,679316;G09;Lüneburger Heide;mittlere Besiedlungsdichte;
Querfurt, Stadt;155,60; 10 593; 5 098; 5 495;  68;06268;11,597433;51,37863;D02;Halle, Saale, Unstrut;mittlere Besiedlungsdichte;
Freiburg im Breisgau, Stadt;153,04; 230 241; 109 829; 120 412; 1 504;79098;7,849877;47,994786;L13;Südlicher Schwarzwald;dicht besiedelt;
Borken, Stadt;152,96; 42 530; 20 908; 21 622;  278;46325;6,855071;51,844144;H03;Münsterland;mittlere Besiedlungsdichte;
Burgwedel, Stadt;152,85; 20 369; 9 697; 10 672;  133;30938;9,856492;52,49202;G11;Hannover-Hildesheim;mittlere Besiedlungsdichte;
Barby, Stadt;152,76; 8 394; 4 208; 4 186;  55;39249;11,880764;51,966471;D04;Magdeburg, Elbe-Börde-Heide;gering besiedelt;
Müncheberg, Stadt;152,29; 6 870; 3 476; 3 394;  45;15374;14,140462;52,503279;A06;Seenland Oder-Spree;gering besiedelt;
Gera, Stadt;152,18; 94 152; 45 517; 48 635;  619;07545;12,080429;50,876147;E27;Thüringer Vogtland;dicht besiedelt;
Ahaus, Stadt;151,24; 39 223; 19 621; 19 602;  259;48683;7,005037;52,076104;H03;Münsterland;mittlere Besiedlungsdichte;
Bad Münstereifel, Stadt;150,83; 17 299; 8 422; 8 877;  115;53902;6,765111;50,556858;H01;Eifel und Region Aachen;gering besiedelt;
Bremervörde, Stadt;150,42; 18 528; 9 314; 9 214;  123;27432;9,146245;53,485106;G04;Unterelbe-Unterweser;mittlere Besiedlungsdichte;
Doberlug-Kirchhain, Stadt;150,36; 9 062; 4 585; 4 477;  60;03253;13,561167;51,635945;A10;Elbe Elster Land;gering besiedelt;
Scheeßel;150,02; 13 014; 6 586; 6 428;  87;27383;9,482765;53,168787;G09;Lüneburger Heide;mittlere Besiedlungsdichte;
Gerstungen;149,98; 9 165; 4 687; 4 478;  61;99834;10,075877;50,968063;E28;Thüringer Wald;gering besiedelt;
Nordhorn, Stadt;149,87; 53 403; 26 370; 27 033;  356;48529;7,071263;52,435804;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;mittlere Besiedlungsdichte;
Allstedt, Stadt;149,81; 7 745; 3 894; 3 851;  52;06542;11,384492;51,401795;D01;Harz und Harzvorland;gering besiedelt;
Süderholz;149,55; 3 991; 2 094; 1 897;  27;18516;13,119186;54,056054;B02;Vorpommern;gering besiedelt;
Havelberg, Hansestadt;149,12; 6 537; 3 243; 3 294;  44;39539;12,075474;52,830791;D05;Altmark;gering besiedelt;
Herzberg (Elster), Stadt;149,01; 9 027; 4 326; 4 701;  61;04916;13,23544;51,69229;A10;Elbe Elster Land;mittlere Besiedlungsdichte;
Blankenburg (Harz), Stadt;148,97; 19 817; 9 519; 10 298;  133;38889;10,952601;51,791278;D01;Harz und Harzvorland;mittlere Besiedlungsdichte;
Uplengen;148,81; 11 778; 5 897; 5 881;  79;26670;7,750133;53,305137;G03;Ostfriesland;gering besiedelt;
Kirchhundem;148,63; 11 564; 5 868; 5 696;  78;57399;8,090176;51,086248;H05;Sauerland;gering besiedelt;
Blankenheim;148,62; 8 313; 4 274; 4 039;  56;53945;6,645162;50,439106;H01;Eifel und Region Aachen;gering besiedelt;
Zahna-Elster, Stadt;148,58; 9 216; 4 573; 4 643;  62;06895;12,829442;51,829561;D03;Anhalt-Wittenberg;gering besiedelt;
Winterberg, Stadt;147,95; 12 611; 6 317; 6 294;  85;59955;8,534051;51,194293;H05;Sauerland;gering besiedelt;
Frankfurt (Oder), Stadt;147,85; 57 873; 28 023; 29 850;  391;15230;14,550979;52,341757;A06;Seenland Oder-Spree;dicht besiedelt;
Ruhpolding;147,83; 7 058; 3 427; 3 631;  48;83324;12,645429;47,763707;T39;Chiemsee-Chiemgau;gering besiedelt;
Osterholz-Scharmbeck, Stadt;147,17; 30 300; 14 810; 15 490;  206;27711;8,782826;53,230402;G04;Unterelbe-Unterweser;mittlere Besiedlungsdichte;
Augsburg;146,85; 295 135; 145 158; 149 977; 2 010;86150;10,892578;48,369696;T22;Bayerisch-Schwaben;dicht besiedelt;
Staßfurt, Stadt;146,67; 25 385; 12 365; 13 020;  173;39418;11,583837;51,853448;D04;Magdeburg, Elbe-Börde-Heide;mittlere Besiedlungsdichte;
Aalen, Stadt;146,58; 68 456; 33 978; 34 478;  467;73430;10,092337;48,835057;L60;Schwäbische Alb;mittlere Besiedlungsdichte;
Altenberg, Stadt;145,89; 7 937; 3 958; 3 979;  54;01773;13,757485;50,766607;C06;Erzgebirge;gering besiedelt;
Northeim, Stadt;145,85; 29 107; 14 245; 14 862;  200;37154;10,000406;51,705681;G10;Weserbergland;mittlere Besiedlungsdichte;
Bochum, Stadt;145,66; 364 628; 177 699; 186 929; 2 503;44787;7,217177;51,482699;H11;Ruhrgebiet;dicht besiedelt;
Saalfeld/Saale, Stadt;145,56; 29 457; 14 270; 15 187;  202;07318;11,361357;50,647648;E28;Thüringer Wald;mittlere Besiedlungsdichte;
Frohburg, Stadt;145,28; 12 470; 6 164; 6 306;  86;04654;12,556473;51,057446;C07;Sächsisches Burgen- und Heideland;gering besiedelt;
Rheine, Stadt;145,00; 76 107; 37 649; 38 458;  525;48431;7,438651;52,279214;H03;Münsterland;mittlere Besiedlungsdichte;
Mannheim, Universitätsstadt;144,97; 309 370; 154 273; 155 097; 2 134;68159;8,466275;49,48778;L40;Nördliches Baden-Württemberg;dicht besiedelt;
Eisleben, Lutherstadt;143,94; 23 373; 11 407; 11 966;  162;06295;11,548;51,528513;D01;Harz und Harzvorland;mittlere Besiedlungsdichte;
Drebkau, Stadt;143,91; 5 538; 2 800; 2 738;  38;03116;14,217333;51,657264;A14;Lausitzer Seenland;gering besiedelt;
Mansfeld, Stadt;143,79; 8 765; 4 383; 4 382;  61;06343;11,45461;51,594112;D01;Harz und Harzvorland;gering besiedelt;
Löningen, Stadt;143,53; 13 441; 6 708; 6 733;  94;49624;7,757443;52,735274;G06;Oldenburger Münsterland;mittlere Besiedlungsdichte;
Halberstadt, Stadt;142,98; 40 256; 20 052; 20 204;  282;38820;11,04731;51,896112;D01;Harz und Harzvorland;mittlere Besiedlungsdichte;
Prenzlau, Stadt;142,96; 19 024; 9 147; 9 877;  133;17291;13,861671;53,315519;A03;Uckermark;mittlere Besiedlungsdichte;
Rottenburg am Neckar, Stadt;142,26; 43 723; 21 718; 22 005;  307;72108;8,936507;48,479475;L60;Schwäbische Alb;mittlere Besiedlungsdichte;
Letschin;142,21; 3 987; 2 034; 1 953;  28;15324;14,360261;52,645821;A06;Seenland Oder-Spree;gering besiedelt;
Liebenwalde, Stadt;142,17; 4 296; 2 171; 2 125;  30;16559;13,393076;52,871681;A02;Ruppiner Seenland;gering besiedelt;
Hörselberg-Hainich;142,09; 6 140; 3 118; 3 022;  43;99820;10,508844;51,020649;E21;Hainich;gering besiedelt;
Schlitz, Stadt;142,06; 9 764; 4 854; 4 910;  69;36110;9,558584;50,675319;I10;Vogelsberg und Wetterau;gering besiedelt;
Friedland, Stadt;141,79; 6 472; 3 183; 3 289;  46;17098;13,553318;53,670639;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Loxstedt;141,74; 16 214; 8 020; 8 194;  114;27612;8,64907;53,470254;G02;Nordseeküste;mittlere Besiedlungsdichte;
Suhl, Stadt;141,62; 36 955; 18 021; 18 934;  261;98527;10,68693;50,609536;E28;Thüringer Wald;mittlere Besiedlungsdichte;
Wrestedt;141,37; 6 393; 3 204; 3 189;  45;29559;10,572386;52,901997;G09;Lüneburger Heide;gering besiedelt;
Coesfeld, Stadt;141,36; 36 217; 17 855; 18 362;  256;48653;7,166744;51,944948;H03;Münsterland;mittlere Besiedlungsdichte;
Bonn, Stadt;141,06; 327 258; 156 328; 170 930; 2 320;53111;7,099187;50,734245;H08;Bonn und Rhein-Sieg-Kreis;dicht besiedelt;
Uetze;140,85; 20 280; 9 977; 10 303;  144;31311;10,202538;52,463947;G11;Hannover-Hildesheim;mittlere Besiedlungsdichte;
Bleckede, Stadt;140,65; 9 457; 4 588; 4 869;  67;21354;10,732726;53,291349;G09;Lüneburger Heide;gering besiedelt;
Lüdinghausen, Stadt;140,54; 24 590; 12 212; 12 378;  175;59348;7,443711;51,770372;H03;Münsterland;mittlere Besiedlungsdichte;
Marlow, Stadt;140,52; 4 563; 2 368; 2 195;  32;18337;12,570959;54,154202;B02;Vorpommern;gering besiedelt;
Greven, Stadt;140,26; 37 692; 18 584; 19 108;  269;48268;7,613202;52,092652;H03;Münsterland;mittlere Besiedlungsdichte;
Baden-Baden, Stadt;140,19; 55 123; 26 442; 28 681;  393;76530;8,239951;48,761794;L11;Nördlicher Schwarzwald;mittlere Besiedlungsdichte;
Neustrelitz, Stadt;139,87; 20 140; 9 688; 10 452;  144;17235;13,063351;53,361804;B05;Mecklenburgische Schweiz und Seenplatte;mittlere Besiedlungsdichte;
Kaiserslautern, Stadt;139,70; 99 845; 50 353; 49 492;  715;67657;7,768864;49,445456;J16;Pfalz;dicht besiedelt;
Emsbüren;139,56; 10 148; 5 085; 5 063;  73;48488;7,292613;52,392739;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;mittlere Besiedlungsdichte;
Euskirchen, Stadt;139,49; 57 975; 28 397; 29 578;  416;53879;6,786098;50,660933;H01;Eifel und Region Aachen;mittlere Besiedlungsdichte;
Lübbenau/Spreewald, Stadt;139,41; 16 021; 7 830; 8 191;  115;03222;13,968659;51,868584;A08;Spreewald;mittlere Besiedlungsdichte;
Lalendorf;139,12; 3 528; 1 797; 1 731;  25;18279;12,387537;53,757069;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Borgentreich, Orgelstadt;138,94; 8 523; 4 409; 4 114;  61;34434;9,240386;51,571529;H04;Teutoburger Wald;gering besiedelt;
Buchen (Odenwald), Stadt;138,93; 17 796; 8 732; 9 064;  128;74722;9,323179;49,521795;L40;Nördliches Baden-Württemberg;mittlere Besiedlungsdichte;
Bad Liebenwerda, Stadt;138,88; 9 188; 4 491; 4 697;  66;04924;13,394139;51,515956;A10;Elbe Elster Land;gering besiedelt;
Osternienburger Land;138,73; 8 549; 4 339; 4 210;  62;06386;12,026166;51,792189;D03;Anhalt-Wittenberg;gering besiedelt;
Perleberg, Stadt;138,70; 12 141; 5 991; 6 150;  88;19348;11,864297;53,076035;A01;Prignitz;mittlere Besiedlungsdichte;
Wertheim, Stadt;138,59; 22 780; 11 258; 11 522;  164;97877;9,516823;49,759581;L40;Nördliches Baden-Württemberg;mittlere Besiedlungsdichte;
Ganderkesee;138,44; 31 137; 15 382; 15 755;  225;27777;8,547501;53,034068;G05;Oldenburger Land;mittlere Besiedlungsdichte;
Hellenthal;137,82; 7 895; 3 989; 3 906;  57;53940;6,4342;50,490262;H01;Eifel und Region Aachen;gering besiedelt;
Krefeld, Stadt;137,77; 227 020; 110 745; 116 275; 1 648;47798;6,56089;51,332637;H02;Niederrhein;dicht besiedelt;
Thale, Stadt;137,67; 17 442; 8 603; 8 839;  127;06502;11,037135;51,75092;D01;Harz und Harzvorland;mittlere Besiedlungsdichte;
Muldestausee;137,52; 11 631; 5 698; 5 933;  85;06774;12,400587;51,624029;D03;Anhalt-Wittenberg;gering besiedelt;
Rahden, Stadt;137,48; 15 441; 7 804; 7 637;  112;32369;8,613029;52,432924;H04;Teutoburger Wald;gering besiedelt;
Netphen, Stadt;137,39; 23 130; 11 476; 11 654;  168;57250;8,098414;50,915322;H06;Siegerland-Wittgenstein;mittlere Besiedlungsdichte;
Feuchtwangen, St;137,21; 12 452; 6 263; 6 189;  91;91555;10,331415;49,167757;T11;Romantisches Franken - vom Rangau zur Romantischen Straße;mittlere Besiedlungsdichte;
Bad Hindelang, M;137,12; 5 168; 2 551; 2 617;  38;87541;10,370607;47,506738;T21;Allgäu;gering besiedelt;
Hohenfels, M;137,07; 2 181; 1 111; 1 070;  16;92366;11,848178;49,203158;T40;Bayerischer Jura;gering besiedelt;
Spreenhagen;137,02; 3 347; 1 665; 1 682;  24;15528;13,875127;52,341228;A06;Seenland Oder-Spree;gering besiedelt;
Uelzen, Hansestadt;136,84; 33 614; 16 291; 17 323;  246;29525;10,560601;52,96495;G09;Lüneburger Heide;mittlere Besiedlungsdichte;
Mechernich, Stadt;136,48; 27 598; 13 701; 13 897;  202;53894;6,653673;50,588604;H01;Eifel und Region Aachen;gering besiedelt;
Bad Laasphe, Stadt;135,95; 13 565; 6 826; 6 739;  100;57334;8,41223;50,927285;H06;Siegerland-Wittgenstein;gering besiedelt;
Neuzelle;135,92; 4 291; 2 131; 2 160;  32;15898;14,648753;52,090954;A06;Seenland Oder-Spree;gering besiedelt;
Vreden, Stadt;135,83; 22 641; 11 553; 11 088;  167;48691;6,824021;52,036087;H03;Münsterland;mittlere Besiedlungsdichte;
Heidesee;135,67; 7 140; 3 568; 3 572;  53;15754;13,790831;52,293584;A07;Dahme-Seenland;gering besiedelt;
Uebigau-Wahrenbrück, Stadt;135,61; 5 245; 2 658; 2 587;  39;04938;13,297304;51,593145;A10;Elbe Elster Land;gering besiedelt;
Lennestadt, Stadt;135,59; 25 503; 12 799; 12 704;  188;57368;8,073677;51,103245;H05;Sauerland;mittlere Besiedlungsdichte;
Rudolstadt, Stadt;135,18; 25 115; 12 231; 12 884;  186;07407;11,343567;50,721635;E28;Thüringer Wald;mittlere Besiedlungsdichte;
Zeulenroda-Triebes, Stadt;135,15; 16 487; 8 014; 8 473;  122;07937;11,97953;50,649189;E27;Thüringer Vogtland;mittlere Besiedlungsdichte;
Halle (Saale), Stadt;135,03; 239 257; 115 713; 123 544; 1 772;06108;11,970666;51,482478;D02;Halle, Saale, Unstrut;dicht besiedelt;
Lohsa;134,54; 5 271; 2 590; 2 681;  39;02999;14,403568;51,38387;C03;Oberlausitz/Niederschlesien;gering besiedelt;
Albstadt, Stadt;134,40; 45 327; 22 474; 22 853;  337;72458;9,026328;48,214156;L60;Schwäbische Alb;mittlere Besiedlungsdichte;
Neuhausen/Spree;134,22; 4 903; 2 466; 2 437;  37;03058;14,414071;51,68088;A14;Lausitzer Seenland;gering besiedelt;
Schotten, Stadt;133,56; 10 059; 5 153; 4 906;  75;63679;9,124329;50,502258;I10;Vogelsberg und Wetterau;gering besiedelt;
Marienberg, Stadt;133,50; 17 097; 8 487; 8 610;  128;09496;13,159828;50,651644;C06;Erzgebirge;gering besiedelt;
Ingolstadt;133,35; 136 981; 69 252; 67 729; 1 027;85024;11,423387;48,76542;T25;Oberbayerns Städte;dicht besiedelt;
Geeste;133,11; 11 341; 5 861; 5 480;  85;49744;7,266686;52,600995;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Mittenwald, M;132,84; 7 336; 3 637; 3 699;  55;82481;11,262738;47,441185;T29;Zugspitz-Region;mittlere Besiedlungsdichte;
Schwanewede;132,57; 20 300; 10 066; 10 234;  153;28790;8,594113;53,225336;G04;Unterelbe-Unterweser;mittlere Besiedlungsdichte;
Forbach;131,86; 4 736; 2 406; 2 330;  36;76596;8,358737;48,680136;L11;Nördlicher Schwarzwald;gering besiedelt;
Wörth am Rhein, Stadt;131,62; 18 123; 8 927; 9 196;  138;76744;8,268634;49,051938;J16;Pfalz;mittlere Besiedlungsdichte;
Schönau a.Königssee;131,62; 5 521; 2 687; 2 834;  42;83471;12,984388;47,602396;T37;Berchtesgadener Land;mittlere Besiedlungsdichte;
Schwielochsee;131,40; 1 470;  747;  723;  11;15913;14,174865;52,019648;A08;Spreewald;gering besiedelt;
Berching, St;131,18; 8 702; 4 397; 4 305;  66;92334;11,444396;49,104465;T40;Bayerischer Jura;gering besiedelt;
Königslutter am Elm, Stadt;131,12; 15 704; 7 743; 7 961;  120;38154;10,816117;52,252332;G12;Braunschweiger Land;mittlere Besiedlungsdichte;
Bad Freienwalde (Oder), Stadt;131,11; 12 365; 6 039; 6 326;  94;16259;14,031047;52,788194;A06;Seenland Oder-Spree;mittlere Besiedlungsdichte;
Mühlhausen/Thüringen, Stadt;130,71; 36 200; 17 611; 18 589;  277;99974;10,458418;51,209777;E21;Hainich;mittlere Besiedlungsdichte;
Schwerin, Landeshauptstadt;130,52; 95 818; 46 054; 49 764;  734;19053;11,414434;53,628545;B04;Westmecklenburg;dicht besiedelt;
Großenhain, Stadt;130,36; 18 218; 8 978; 9 240;  140;01558;13,53055;51,292057;C05;Sächsisches Elbland;mittlere Besiedlungsdichte;
Bad Zwischenahn;130,11; 28 596; 13 710; 14 886;  220;26160;8,008329;53,180788;G03;Ostfriesland;mittlere Besiedlungsdichte;
Bad Mergentheim, Stadt;129,96; 23 704; 11 563; 12 141;  182;97980;9,773085;49,490973;L40;Nördliches Baden-Württemberg;mittlere Besiedlungsdichte;
Naumburg (Saale), Stadt;129,90; 32 402; 15 715; 16 687;  249;06618;11,813274;51,15508;D02;Halle, Saale, Unstrut;mittlere Besiedlungsdichte;
Alsfeld, Stadt;129,71; 15 989; 7 903; 8 086;  123;36304;9,271415;50,751031;I10;Vogelsberg und Wetterau;mittlere Besiedlungsdichte;
Butjadingen;129,55; 6 024; 2 964; 3 060;  46;26969;8,362601;53,574556;G02;Nordseeküste;gering besiedelt;
Suderburg;129,41; 4 546; 2 283; 2 263;  35;29556;10,452948;52,895002;G09;Lüneburger Heide;gering besiedelt;
Detmold, Stadt;129,39; 74 388; 35 935; 38 453;  575;32756;8,878641;51,935357;H04;Teutoburger Wald;mittlere Besiedlungsdichte;
Bad Langensalza, Stadt;129,37; 17 441; 8 564; 8 877;  135;99947;10,649621;51,106802;E21;Hainich;mittlere Besiedlungsdichte;
Gleichen;129,25; 8 804; 4 364; 4 440;  68;37130;9,980599;51,46877;G13;Harz;gering besiedelt;
Ramsau b.Berchtesgaden;129,17; 1 714;  890;  824;  13;83486;12,899103;47,608333;T37;Berchtesgadener Land;gering besiedelt;
Kyffhäuserland;129,01; 3 872; 1 959; 1 913;  30;99707;11,006127;51,372696;E19;Südharz Kyffhäuser;gering besiedelt;
Hammelburg, St;128,88; 11 037; 5 516; 5 521;  86;97762;9,89097;50,115381;T10;Rhön;gering besiedelt;
Jachenau;128,65;  870;  430;  440;  7;83676;11,43382;47,605803;T30;Tölzer Land;gering besiedelt;
Bispingen;128,48; 6 464; 3 235; 3 229;  50;29646;9,996078;53,082077;G09;Lüneburger Heide;gering besiedelt;
Willebadessen, Stadt;128,41; 8 142; 4 129; 4 013;  63;34439;9,028703;51,624696;H04;Teutoburger Wald;gering besiedelt;
Syke, Stadt;128,11; 24 355; 12 035; 12 320;  190;28857;8,816336;52,914548;G08;Mittelweser;mittlere Besiedlungsdichte;
Lehrte, Stadt;127,67; 43 999; 21 917; 22 082;  345;31275;9,976958;52,372615;G11;Hannover-Hildesheim;mittlere Besiedlungsdichte;
Senftenberg, Stadt;127,56; 24 275; 11 776; 12 499;  190;01968;14,004312;51,518751;A14;Lausitzer Seenland;mittlere Besiedlungsdichte;
Elsterheide;127,52; 3 461; 1 734; 1 727;  27;02979;14,228082;51,466289;C03;Oberlausitz/Niederschlesien;gering besiedelt;
Ellwangen (Jagst), Stadt;127,38; 24 549; 12 380; 12 169;  193;73479;10,131979;48,962988;L60;Schwäbische Alb;mittlere Besiedlungsdichte;
Großefehn;127,20; 13 915; 7 048; 6 867;  109;26629;7,603827;53,401328;G03;Ostfriesland;gering besiedelt;
Wettin-Löbejün, Stadt;127,11; 9 828; 4 838; 4 990;  77;06193;11,901719;51,637419;D02;Halle, Saale, Unstrut;gering besiedelt;
Sinsheim, Stadt;126,99; 35 442; 17 703; 17 739;  279;74889;8,878701;49,252996;L40;Nördliches Baden-Württemberg;mittlere Besiedlungsdichte;
Grünheide (Mark);126,90; 8 645; 4 235; 4 410;  68;15537;13,822805;52,425521;A06;Seenland Oder-Spree;gering besiedelt;
Drochtersen;126,79; 11 184; 5 548; 5 636;  88;21706;9,385084;53,709623;G04;Unterelbe-Unterweser;gering besiedelt;
Witzenhausen, Stadt;126,78; 15 167; 7 379; 7 788;  120;37213;9,858869;51,341392;I03;Werra-Meissner Land;gering besiedelt;
Lippetal;126,61; 11 871; 5 959; 5 912;  94;59510;8,143621;51,656454;H05;Sauerland;gering besiedelt;
Bad Arolsen, Stadt;126,47; 15 470; 7 588; 7 882;  122;34454;9,017086;51,38002;I02;Waldecker Land;mittlere Besiedlungsdichte;
Trebbin, Stadt;126,36; 9 541; 4 802; 4 739;  76;14959;13,217345;52,218103;A11;Fläming;gering besiedelt;
Medebach, Hansestadt;126,05; 8 055; 4 042; 4 013;  64;59964;8,704871;51,198074;H05;Sauerland;gering besiedelt;
Oberstaufen, M;125,95; 7 770; 3 780; 3 990;  62;87534;10,021839;47,554303;T21;Allgäu;gering besiedelt;
Wunstorf, Stadt;125,74; 41 594; 20 330; 21 264;  331;31515;9,424195;52,425436;G11;Hannover-Hildesheim;mittlere Besiedlungsdichte;
Schleusingen, Stadt;125,59; 10 960; 5 368; 5 592;  87;98553;10,749262;50,509068;E28;Thüringer Wald;gering besiedelt;
Ennigerloh, Stadt;125,56; 19 829; 9 947; 9 882;  158;59320;8,024092;51,835127;H03;Münsterland;mittlere Besiedlungsdichte;
Iserlohn, Stadt;125,49; 92 666; 45 305; 47 361;  738;58636;7,699212;51,374541;H05;Sauerland;dicht besiedelt;
Halblech;125,42; 3 469; 1 713; 1 756;  28;87642;10,820668;47,629783;T21;Allgäu;gering besiedelt;
Landsberg, Stadt;125,38; 15 054; 7 526; 7 528;  120;06188;12,15883;51,525359;D02;Halle, Saale, Unstrut;gering besiedelt;
Olbernhau, Stadt;125,36; 10 991; 5 404; 5 587;  88;09526;13,339236;50,659281;C06;Erzgebirge;mittlere Besiedlungsdichte;
Könnern, Stadt;125,32; 8 261; 4 113; 4 148;  66;06420;11,767742;51,670127;D04;Magdeburg, Elbe-Börde-Heide;gering besiedelt;
Frankenberg (Eder), Philipp-Soldan-Stadt;124,86; 17 808; 8 897; 8 911;  143;35066;8,799233;51,058731;I02;Waldecker Land;mittlere Besiedlungsdichte;
Parchim, Stadt;124,81; 18 037; 8 718; 9 319;  145;19370;11,847644;53,425581;B04;Westmecklenburg;mittlere Besiedlungsdichte;
Hude (Oldb);124,79; 16 248; 8 075; 8 173;  130;27798;8,457772;53,112607;G05;Oldenburger Land;mittlere Besiedlungsdichte;
Ovelgönne;124,27; 5 259; 2 611; 2 648;  42;26939;8,422554;53,342233;G04;Unterelbe-Unterweser;gering besiedelt;
Korbach, Hansestadt, Kreisstadt;124,11; 23 581; 11 529; 12 052;  190;34497;8,873194;51,27186;I02;Waldecker Land;mittlere Besiedlungsdichte;
